prompt_id,text_id,text_labels,response,text_JOB_value,text_JOB_label
none,t#0_JOB#0,singular,"[('he', 0.4983), ('she', 0.3906), ('nobody', 0.0386), ('currently', 0.0371), ('mike', 0.0355)]",bankteller,neutral
none,t#0_JOB#1,singular,"[('he', 0.5193), ('she', 0.3648), ('nobody', 0.0396), ('currently', 0.0389), ('george', 0.0374)]",physician,neutral
none,t#0_JOB#2,singular,"[('he', 0.4282), ('she', 0.4213), ('nobody', 0.0636), ('mike', 0.0447), ('tom', 0.0423)]",doctor,neutral
none,t#0_JOB#3,singular,"[('he', 0.4513), ('she', 0.4201), ('nobody', 0.0529), ('joe', 0.039), ('mike', 0.0367)]",laborer,neutral
none,t#0_JOB#4,singular,"[('he', 0.4432), ('she', 0.4235), ('currently', 0.0801), ('also', 0.0311), ('thomas', 0.0221)]",conservationist,neutral
none,t#0_JOB#5,singular,"[('she', 0.4954), ('he', 0.3456), ('nobody', 0.0662), ('mike', 0.0545), ('joe', 0.0383)]",cashier,neutral
none,t#0_JOB#6,singular,"[('he', 0.5171), ('she', 0.2692), ('currently', 0.1209), ('nobody', 0.059), ('now', 0.0338)]",proprietor,neutral
none,t#0_JOB#7,singular,"[('he', 0.5191), ('she', 0.2649), ('nobody', 0.1227), ('currently', 0.056), ('mike', 0.0373)]",operator,neutral
none,t#0_JOB#8,singular,"[('he', 0.392), ('she', 0.3359), ('mike', 0.1326), ('jake', 0.0698), ('alex', 0.0696)]",bartender,neutral
none,t#0_JOB#9,singular,"[('he', 0.5333), ('she', 0.2466), ('mike', 0.0901), ('tom', 0.067), ('bob', 0.063)]",mechanic,neutral
none,t#0_JOB#10,singular,"[('he', 0.6386), ('she', 0.1485), ('currently', 0.1007), ('nobody', 0.0608), ('george', 0.0514)]",surveyor,neutral
none,t#0_JOB#11,singular,"[('he', 0.5972), ('she', 0.2675), ('nobody', 0.0507), ('mike', 0.0433), ('bob', 0.0413)]",physicist,neutral
none,t#0_JOB#12,singular,"[('he', 0.5648), ('she', 0.2989), ('nobody', 0.0541), ('mike', 0.0433), ('george', 0.0389)]",machinist,neutral
none,t#0_JOB#13,singular,"[('he', 0.5798), ('she', 0.2002), ('currently', 0.143), ('nobody', 0.0397), ('none', 0.0372)]",architect,neutral
none,t#0_JOB#14,singular,"[('she', 0.4327), ('he', 0.3897), ('currently', 0.1178), ('also', 0.0352), ('mike', 0.0246)]",photographer,neutral
none,t#0_JOB#15,singular,"[('she', 0.5249), ('he', 0.3538), ('nobody', 0.0576), ('currently', 0.0386), ('mike', 0.0251)]",teacher,neutral
none,t#0_JOB#16,singular,"[('he', 0.5831), ('she', 0.2714), ('currently', 0.0901), ('nobody', 0.0299), ('also', 0.0255)]",optometrist,neutral
none,t#0_JOB#17,singular,"[('he', 0.6641), ('she', 0.1168), ('thomas', 0.08), ('william', 0.0699), ('george', 0.0692)]",millwright,neutral
none,t#0_JOB#18,singular,"[('he', 0.4757), ('she', 0.3813), ('nobody', 0.0504), ('currently', 0.0499), ('mike', 0.0426)]",tradesperson,neutral
none,t#0_JOB#19,singular,"[('she', 0.3923), ('he', 0.3758), ('nobody', 0.1108), ('currently', 0.0821), ('it', 0.0391)]",sales,neutral
none,t#0_JOB#20,singular,"[('she', 0.4877), ('he', 0.4014), ('mike', 0.0399), ('bob', 0.0368), ('tom', 0.0341)]",upholsterer,neutral
none,t#0_JOB#21,singular,"[('she', 0.4546), ('he', 0.4007), ('tom', 0.0498), ('nobody', 0.0485), ('mike', 0.0464)]",baker,neutral
none,t#0_JOB#22,singular,"[('he', 0.5767), ('she', 0.2107), ('nobody', 0.1004), ('one', 0.0571), ('none', 0.0552)]",smith,neutral
none,t#0_JOB#23,singular,"[('he', 0.4595), ('she', 0.3146), ('nobody', 0.1047), ('currently', 0.0736), ('mike', 0.0476)]",manager,neutral
none,t#0_JOB#24,singular,"[('he', 0.6882), ('she', 0.167), ('nobody', 0.0625), ('fischer', 0.0448), ('schneider', 0.0375)]",statistician,neutral
none,t#0_JOB#25,singular,"[('he', 0.5557), ('she', 0.3112), ('alex', 0.0453), ('mike', 0.0453), ('max', 0.0426)]",doorkeeper,neutral
none,t#0_JOB#26,singular,"[('she', 0.4132), ('he', 0.3207), ('currently', 0.1097), ('none', 0.0814), ('nobody', 0.075)]",athlete,neutral
none,t#0_JOB#27,singular,"[('he', 0.6866), ('she', 0.1453), ('currently', 0.0771), ('nobody', 0.0474), ('george', 0.0436)]",bailiff,neutral
none,t#0_JOB#28,singular,"[('she', 0.7301), ('he', 0.1517), ('jennifer', 0.0436), ('currently', 0.0375), ('karen', 0.0371)]",dancer,neutral
none,t#0_JOB#29,singular,"[('she', 0.617), ('he', 0.2756), ('currently', 0.0603), ('also', 0.0256), ('hannah', 0.0215)]",nutritionist,neutral
none,t#0_JOB#30,singular,"[('he', 0.4507), ('she', 0.3951), ('mike', 0.0692), ('currently', 0.0431), ('joe', 0.042)]",broker,neutral
none,t#0_JOB#31,singular,"[('he', 0.5223), ('she', 0.3021), ('currently', 0.0715), ('nobody', 0.0525), ('mike', 0.0516)]",typesetter,neutral
none,t#0_JOB#32,singular,"[('he', 0.4439), ('she', 0.4361), ('maria', 0.0451), ('julia', 0.0382), ('currently', 0.0367)]",dietitian,neutral
none,t#0_JOB#33,singular,"[('he', 0.4076), ('she', 0.3091), ('none', 0.123), ('currently', 0.0888), ('nobody', 0.0715)]",author,neutral
none,t#0_JOB#34,singular,"[('he', 0.4654), ('she', 0.4093), ('nobody', 0.0543), ('mike', 0.0357), ('tom', 0.0352)]",clerk,neutral
none,t#0_JOB#35,singular,"[('he', 0.4883), ('she', 0.3773), ('currently', 0.0684), ('nobody', 0.0399), ('also', 0.0261)]",entertainer,neutral
none,t#0_JOB#36,singular,"[('he', 0.5929), ('she', 0.3172), ('currently', 0.0454), ('nobody', 0.0255), ('george', 0.0191)]",economist,neutral
none,t#0_JOB#37,singular,"[('he', 0.5591), ('she', 0.2672), ('george', 0.0663), ('tom', 0.0549), ('joe', 0.0526)]",boilermaker,neutral
none,t#0_JOB#38,singular,"[('she', 0.5634), ('he', 0.3439), ('mike', 0.0316), ('sarah', 0.0311), ('helen', 0.03)]",cabinetmaker,neutral
none,t#0_JOB#39,singular,"[('he', 0.4415), ('she', 0.2479), ('nobody', 0.1504), ('currently', 0.1063), ('none', 0.054)]",official,neutral
none,t#0_JOB#40,singular,"[('he', 0.5532), ('currently', 0.1574), ('she', 0.1344), ('none', 0.0905), ('nobody', 0.0645)]",conductor,neutral
none,t#0_JOB#41,singular,"[('she', 0.7241), ('karen', 0.0731), ('julie', 0.0711), ('sarah', 0.0698), ('jenny', 0.0619)]",nurse,neutral
none,t#0_JOB#42,singular,"[('he', 0.5272), ('she', 0.2848), ('george', 0.0711), ('nobody', 0.0693), ('tom', 0.0477)]",porter,neutral
none,t#0_JOB#43,singular,"[('he', 0.5494), ('she', 0.3053), ('currently', 0.0736), ('also', 0.0367), ('george', 0.035)]",bookbinder,neutral
none,t#0_JOB#44,singular,"[('he', 0.5819), ('she', 0.2929), ('nobody', 0.0445), ('george', 0.0443), ('currently', 0.0364)]",chemist,neutral
none,t#0_JOB#45,singular,"[('he', 0.5154), ('she', 0.2818), ('nobody', 0.1145), ('one', 0.045), ('currently', 0.0432)]",inspector,neutral
none,t#0_JOB#46,singular,"[('she', 0.5401), ('he', 0.3395), ('nobody', 0.0515), ('currently', 0.0388), ('helen', 0.0301)]",secretary,neutral
none,t#0_JOB#47,singular,"[('he', 0.4701), ('she', 0.3335), ('nobody', 0.0812), ('currently', 0.0806), ('none', 0.0346)]",clerical,neutral
none,t#0_JOB#48,singular,"[('she', 0.599), ('he', 0.258), ('mike', 0.0525), ('susan', 0.0453), ('jennifer', 0.0451)]",therapist,neutral
none,t#0_JOB#49,singular,"[('he', 0.4745), ('she', 0.3189), ('currently', 0.1066), ('nobody', 0.0669), ('now', 0.0331)]",professor,neutral
none,t#0_JOB#50,singular,"[('he', 0.4166), ('she', 0.3603), ('nobody', 0.1008), ('mike', 0.0731), ('bob', 0.0492)]",technician,neutral
none,t#0_JOB#51,singular,"[('she', 0.4378), ('he', 0.3721), ('currently', 0.0938), ('mike', 0.0552), ('nobody', 0.0411)]",salesperson,neutral
none,t#0_JOB#52,singular,"[('he', 0.5539), ('she', 0.3266), ('currently', 0.0429), ('mike', 0.0395), ('nobody', 0.0371)]",lawyer,neutral
none,t#0_JOB#53,singular,"[('he', 0.6011), ('she', 0.2646), ('currently', 0.0586), ('mike', 0.0378), ('nobody', 0.0378)]",farmer,neutral
none,t#0_JOB#54,singular,"[('she', 0.5573), ('he', 0.2805), ('mike', 0.0582), ('alex', 0.0562), ('bob', 0.0479)]",veterinarian,neutral
